,MPEG-Dash,virtualsplitter,MSoS,SyncDelivery,LowLatencyLiveStreaming,DocStreaming,FastDashBootstrap
text,0,0,0,0,0,0.00975393558424,0
JS,0,0.010271118829,0,0,0,0,0
session,0.0027233977576,0,0,0,0,0,0.00548162860668
ground,0,0,0.00458508517685,0,0,0,0
slow,0,0,0,0,0,0,0.00785961689285
based,0,0.00609859304501,0.00559008955958,0,0,0,0.00342227341792
distributed,0,0.00601133862042,0.00295184488335,0,0,0,0
HTML,0,0.00420793703429,0.00295184488335,0,0,0,0
local,0,0,0.00354221386002,0,0.00383890593002,0,0
achieve,0.00846047890894,0,0,0,0,0,0
de,0,0.00560242845217,0,0,0,0,0
dc,0,0,0,0,0.00463785190446,0,0
DASH,0.00736780748163,0,0,0,0.0152900192715,0,0.00798530464182
synchronization,0.00184195187041,0.00162629147867,0,0.00505246189855,0,0,0
international,0,0,0,0.00928281526085,0,0,0
timing,0.00423023945447,0,0,0,0,0,0
secondary,0,0.0074699046029,0,0,0,0,0
resource,0,0,0,0,0,0,0.00916955304166
progressive,0,0,0,0,0,0.00609620974015,0
dashcast,0,0,0,0,0.00596295244859,0,0
common,0,0,0,0,0,0.00487696779212,0
initcwnd,0,0,0,0,0,0,0.00916955304166
automatic,0,0,0.00641911924759,0,0,0,0
requirement,0.00423023945447,0,0,0,0,0,0
set,0,0,0.00290093009769,0.00200220317687,0,0.00175318229303,0.0024486722461
reference,0,0,0,0.00464140763042,0,0,0
frame,0.006808494394,0,0,0,0.0153556237201,0,0
startup,0,0,0,0,0,0,0.00589471266964
–,0,0,0,0,0.00397530163239,0,0
result,0,0.00243943721801,0.00878442645076,0,0,0,0.00228151561195
movie,0.0105755986362,0,0,0,0,0,0
TCP,0,0,0,0,0,0,0.0360232440922
label,0,0,0.0091701703537,0,0,0,0
approach,0,0.000591749250776,0.000944372685087,0.000459602503957,0.00136462978397,0.000482928194948,0.00181597906225
available,0,0,0,0.00298810487417,0.00298581572335,0,0
C,0,0,0,0.00464140763042,0,0,0
audiovisual,0,0,0,0,0,0.00853469363621,0
screen,0,0.0130723330551,0,0,0,0,0
javascript,0,0,0,0,0,0.00487696779212,0
packaged,0,0,0,0,0,0.00609620974015,0
however,0,0,0,0,0.00288490929652,0.00318533030221,0.00256670506344
AND,0,0,0,0.0116035190761,0,0,0
region,0,0.00560242845217,0,0,0,0,0
merging,0,0,0.00458508517685,0,0,0,0
context,0,0,0,0.00464140763042,0,0,0
logic,0,0.00560242845217,0,0,0,0,0
interactive,0,0.00420793703429,0.00531332079004,0,0,0,0
whole,0,0,0,0,0,0.00365772584409,0
otherwise,0,0,0.00458508517685,0,0,0,0
subtitle,0,0,0,0,0,0.00731545168818,0
mirroring,0,0.00466869037681,0,0,0,0,0
packaging,0,0,0,0.00353672332899,0.00173094557791,0.00637066060442,0
header,0,0,0,0,0,0.00392469601659,0.00295164617283
adaptation,0,0,0.00295184488335,0,0,0,0.0033733099118
table,0,0,0,0,0,0,0.00851458496726
conference,0,0.00300566931021,0,0.00597620974834,0,0,0
pp,0.0063453591817,0,0,0,0,0,0
due,0,0,0,0,0,0,0.00523974459523
strategy,0,0,0,0,0,0,0.0130993614881
pg,0,0,0.0183403407074,0,0,0,0
proposal,0,0,0,0,0,0,0.00589471266964
XML,0,0,0,0.00597620974834,0,0.0612252578588,0
corresponding,0,0,0.00458508517685,0,0,0,0
RAP,0,0,0,0,0,0.00487696779212,0
precision,0,0,0.00825315331833,0,0,0,0
coherent,0,0,0.00550210221222,0,0,0,0
present,0,0.00360680317225,0,0,0,0,0.00295164617283
case,0,0,0,0.00298810487417,0,0.00549457442323,0
value,0,0.00420793703429,0.00944590362673,0,0,0,0
behavior,0,0,0.00458508517685,0,0,0,0
layer,0.0063453591817,0,0,0,0,0,0
NHML,0,0,0,0.00298810487417,0,0.00549457442323,0
thus,0,0,0,0.00464140763042,0,0,0
ﬁles,0,0,0,0.00812246335324,0,0,0
player,0,0,0,0,0,0,0.00392980844643
technology,0,0,0,0.00353672332899,0,0.00212355353481,0.00171113670896
id,0,0,0,0,0,0.00487696779212,0
different,0.00243311212146,0,0,0.00166850264739,0.00190539934605,0,0.00150687522837
author,0,0.00840364267826,0,0,0,0,0
”,0,0,0,0.0185656305217,0,0,0
webgl,0,0,0,0.00348105572282,0,0,0
connection,0,0,0,0,0,0,0.0281636271994
split,0,0.00653616652754,0,0,0,0,0
big,0,0,0,0,0.00463785190446,0,0
document,0,0,0,0.00597620974834,0,0.0361072033526,0
bunny,0,0,0,0,0.00397530163239,0,0
UTC,0.0054467955152,0,0,0,0.00511854124002,0,0
used,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slave,0,0.00601133862042,0.00295184488335,0,0,0,0
eg,0,0.00241676683849,0.00237348826174,0.00300330476531,0.00152431947684,0,0
IS,0,0,0,0,0,0,0.037333180241
II,0,0,0,0,0,0,0.00851458496726
feuvre,0.0063453591817,0,0,0,0,0,0
user,0,0.0037594150821,0.00131860458986,0.00100110158844,0,0.00140254583442,0
docu,0,0,0,0,0,0.00487696779212,0
lower,0,0,0,0,0.00463785190446,0,0
scenario,0,0,0,0.00373513109271,0,0.00470963521991,0
subtree,0,0,0.00641911924759,0,0,0,0
analysis,0,0,0.00825315331833,0,0,0,0
without,0.00276292780561,0,0,0.00303147713913,0,0,0.00370746286942
position,0,0,0,0,0,0.00731545168818,0
model,0,0,0.00550210221222,0,0,0,0
audio,0,0,0,0.0116035190761,0,0,0
singlescreen,0,0.00373495230145,0,0,0,0,0
proposed,0,0,0,0,0,0,0.00654968074404
bandwidth,0,0,0,0,0,0,0.00458477652083
via,0,0,0,0,0,0.00365772584409,0
using,0.0,0.0,0.0,0.0,0.0,0.0,0.0
