,MPEG-Dash,virtualsplitter,MSoS,SyncDelivery,LowLatencyLiveStreaming,DocStreaming,FastDashBootstrap
audiovisual,0,0,0,0,0,0.00438596491228,0
screen,0,0.00671785028791,0,0,0,0,0
javascript,0,0,0,0,0,0.00250626566416,0
deliver,0.00326086956522,0,0,0,0,0,0
however,0,0,0,0,0.00340483486551,0.00375939849624,0.00302928306967
AND,0,0,0,0.00596302921884,0,0,0
downloaded,0,0,0,0,0,0,0.00269269606193
region,0,0.00287907869482,0,0,0,0,0
merging,0,0,0.00235626767201,0,0,0,0
context,0,0,0,0.00238521168754,0,0,0
logic,0,0.00287907869482,0,0,0,0,0
interactive,0,0.00335892514395,0.00424128180961,0,0,0,0
whole,0,0,0,0,0,0.00187969924812,0
otherwise,0,0,0.00235626767201,0,0,0,0
subtitle,0,0,0,0,0,0.00375939849624,0
metx,0,0,0,0,0,0.00250626566416,0
mirroring,0,0.00239923224568,0,0,0,0,0
packaging,0,0,0,0.00417412045319,0.00204290091931,0.00751879699248,0
header,0,0,0,0,0,0.0031328320802,0.00235610905419
packaged,0,0,0,0,0,0.0031328320802,0
adaptation,0,0,0.00235626767201,0,0,0,0.00269269606193
table,0,0,0,0,0,0,0.00437563110064
conference,0,0.00239923224568,0,0.00477042337507,0,0,0
pp,0.00326086956522,0,0,0,0,0,0
due,0,0,0,0,0,0,0.00269269606193
strategy,0,0,0,0,0,0,0.00673174015483
pg,0,0,0.00942507068803,0,0,0,0
proposal,0,0,0,0,0,0,0.00302928306967
XML,0,0,0,0.00477042337507,0,0.0488721804511,0
corresponding,0,0,0.00235626767201,0,0,0,0
RAP,0,0,0,0,0,0.00250626566416,0
precision,0,0,0.00424128180961,0,0,0,0
coherent,0,0,0.00282752120641,0,0,0,0
present,0,0.00287907869482,0,0,0,0,0.00235610905419
case,0,0,0,0.00238521168754,0,0.00438596491228,0
value,0,0.00335892514395,0.00754005655042,0,0,0,0
behavior,0,0,0.00235626767201,0,0,0,0
layer,0.00326086956522,0,0,0,0,0,0
NHML,0,0,0,0.00238521168754,0,0.00438596491228,0
thus,0,0,0,0.00238521168754,0,0,0
ﬁles,0,0,0,0.00417412045319,0,0,0
player,0,0,0,0,0,0,0.00201952204645
technology,0,0,0,0.00417412045319,0,0.00250626566416,0.00201952204645
id,0,0,0,0,0,0.00250626566416,0
different,0.00434782608696,0,0,0.00298151460942,0.00340483486551,0,0.00269269606193
author,0,0.00431861804223,0,0,0,0,0
”,0,0,0,0.00954084675015,0,0,0
webgl,0,0,0,0.00178890876565,0,0,0
connection,0,0,0,0,0,0,0.0144732413329
split,0,0.00335892514395,0,0,0,0,0
SVG,0,0,0,0,0,0.00250626566416,0
document,0,0,0,0.00477042337507,0,0.0288220551378,0
bunny,0,0,0,0,0.00204290091931,0,0
UTC,0.00434782608696,0,0,0,0.00408580183861,0,0
used,0.0054347826087,0.00191938579655,0.00282752120641,0.0077519379845,0.00612870275792,0.00689223057644,0.00471221810838
slave,0,0.00479846449136,0.00235626767201,0,0,0,0
initialization,0,0,0,0,0,0,0.00201952204645
primary,0,0.00239923224568,0,0,0,0,0
II,0,0,0,0,0,0,0.00437563110064
compared,0,0,0.00235626767201,0,0.00272386789241,0,0.00370245708516
user,0,0.00671785028791,0.00235626767201,0.00178890876565,0,0.00250626566416,0
docu,0,0,0,0,0,0.00250626566416,0
lower,0,0,0,0,0.00238338440586,0,0
scenario,0,0,0,0.00298151460942,0,0.00375939849624,0
subtree,0,0,0.00329877474081,0,0,0,0
analysis,0,0,0.00424128180961,0,0,0,0
without,0.00326086956522,0,0,0.00357781753131,0,0,0.00437563110064
edge,0.00434782608696,0,0,0,0,0,0
position,0,0,0,0,0,0.00375939849624,0
model,0,0,0.00282752120641,0,0,0,0
audio,0,0,0,0.00596302921884,0,0,0
singlescreen,0,0.00191938579655,0,0,0,0,0
proposed,0,0,0,0,0,0,0.00336587007742
bandwidth,0,0,0,0,0,0,0.00235610905419
world,0,0,0,0.00357781753131,0,0,0
web,0,0.00575815738964,0.00659754948162,0.0113297555158,0.00238338440586,0.00250626566416,0.00639515314709
handshake,0,0,0,0,0,0,0.0040390440929
